TMS_ID,vt_hours
EP000000211614,0.304722222
EP000000211710,0.230555556
EP000000211854,0.038888889
EP000000211861,0.231388889
EP000000211865,2.892777778
EP000000211869,0.019722222
EP000000211875,0.666666667
EP000000211877,0.262777778
EP000000211880,0.013611111
EP000000211881,0.486111111
EP000000211883,0.185
EP000000211884,x
EP000000211885,0.49
EP000000211887,0.868055556
EP000000211888,0.153333333
EP000000211889,0.371944444
EP000000211890,1.569722222
EP000000211891,0.203611111
EP000000211892,1.808888889
EP000000211893,1.080833333
EP000000211895,1.959166667
EP000000211896,0.580833333
EP000000211897,0.433611111
EP000000211898,2.254444444
EP000000211899,2.251944444
EP000000211900,4.549166667
EP000000211901,0.2475
EP000000211902,0.916388889
EP000000211903,0.754722222
EP000000211904,0.743055556
EP000000211906,3.634722222
EP000000211909,0.896944444
EP000000211912,2.604444444
EP000000211913,4.7625
EP000000211914,1.158333333
EP000000211915,3.328611111
EP000000211916,0.17
EP000000211918,0.400833333
EP000000211919,1.043611111
EP000000211921,3.294722222
EP000000211922,7.558888889
EP000000211923,9.946388889
EP000000211924,1.769444444
EP000000211925,3.022777778
EP000000211926,7.266388889
EP000000211927,0.920277778
EP000000211928,3.237777778
EP000000211929,2.029722222
EP000000211930,7.691944444
EP000000211931,0.716111111
EP000000211932,6.593055556
EP000000211933,4.4425
EP000000211934,5.128055556
EP000000211935,5.160555556
EP000000211936,9.766388889
EP000000211937,0.591666667
EP000000211938,6.723611111
EP000000211939,2.345
EP000000211940,0.914444444
EP000000211941,5.600555556
EP000000211942,18.24166667
EP000000211943,17.30222222
EP000000211945,3.365277778
EP000000211946,1.259722222
EP000000211947,5.561666667
EP000000211948,0.114722222
EP000000211949,0.750555556
EP000000211950,0.883333333
EP000000211951,7.21
EP000000211952,7.268611111
EP000000211954,4.065555556
EP000000211955,6.302777778
EP000000211956,532.5377778
EP000000211957,1846.003056
EP000000211959,2378.982222
EP000000211962,12561.45639
EP000000211963,15607.13056
EP000000211965,2001.0425
EP000000351435,0.479722222
EP000000351440,0.127222222
EP000000351443,0.098055556
EP000000351448,0.658888889
EP000000351452,0.040555556
EP000000351455,1.297222222
EP000000351457,1.845277778
EP000000351458,0.024166667
EP000000351459,1.669166667
EP000000351461,1.673333333
EP000000351464,0.004444444
EP000000351468,0.005555556
EP000000351469,1.123888889
EP000000351473,0.151944444
EP000000351474,1.89
EP000000351475,0.466111111
EP000000351480,0.322222222
EP000000351481,1.601111111
EP000000351482,0.868333333
EP000000351484,1.038611111
EP000000351486,0.003611111
EP000000351489,0.646944444
EP000000351490,0.09
EP000000351493,1.010277778
EP000000351494,0.003888889
EP000000351495,0.99
EP000000351496,0.023611111
EP000000351497,2.051944444
EP000000351499,2.728333333
EP000000351500,1.966944444
EP000000351501,0.353611111
EP000000351502,0.025
EP000000351503,0.642222222
EP000000351504,1.016388889
EP000000351505,0.904722222
EP000000351506,0.191388889
EP000000351507,2.551944444
EP000000351508,0.874722222
EP000000351509,3.441111111
EP000000351510,0.035277778
EP000000351511,1.376388889
EP000000351512,1.8525
EP000000351513,1.043888889
EP000000351514,1.104722222
EP000000351515,0.406388889
EP000000351516,2.041944444
EP000000351517,0.142222222
EP000000351519,0.154722222
EP000000351520,0.336944444
EP000000351521,1.196666667
EP000000351522,1.362222222
EP000000351523,0.232222222
EP000000351524,0.7675
EP000000351525,1.015
EP000000351526,0.228888889
EP000000351528,0.385
EP000000351529,0.804444444
EP000000351530,1.428888889
EP000000351531,2.285555556
EP000000351532,0.702222222
EP000000351533,3.3675
EP000000351534,1.459166667
EP000000351535,0.7675
EP000000351536,1.664444444
EP000000351537,0.113333333
EP000000351538,3.258611111
EP000000351539,11.40555556
EP000000351540,7.202777778
EP000000351541,198.2747222
EP000000351542,563.9744444
EP000000351543,386.3886111
EP000000351544,1349.735833
EP000000351545,11363.11722
EP000000351546,4248.186111
EP000000510001,15.99361111
EP000000510003,11.2475
EP000000510004,10.70472222
EP000000510005,11.72388889
EP000000510007,6.33
EP000000510009,110.3480556
EP000000510010,100.5111111
EP000000510011,93.05916667
EP000000510012,79.11555556
EP000000510013,78.1075
EP000000510014,166.5738889
EP000000510015,133.0486111
EP000000510016,140.3044444
EP000000510017,128.9202778
EP000000510018,120.3625
EP000000510019,85.57388889
EP000000510020,87.52805556
EP000000510021,63.34777778
EP000000510022,77.50694444
EP000000510023,142.4511111
EP000000510024,0.5125
EP000000510025,0.136111111
EP000000510026,1.109166667
EP000000510027,1.359444444
EP000000510028,217.2669444
EP000000510029,0.868888889
EP000000510052,0.406944444
EP000000510053,0.407777778
EP000000510054,0.1075
EP000000510092,0.2125
EP000000510093,0.203888889
EP000000510108,0.316666667
EP000000510109,0.519444444
EP000000510111,0.664722222
EP000000510112,0.515277778
EP000000510122,0.235833333
EP000000510123,0.002222222
EP000000510127,0.056111111
EP000000510129,0.186111111
EP000000510162,0.164166667
EP000000510165,1.435277778
EP000000510168,0.014166667
EP000000510177,251.9527778
EP000000510178,414.7072222
EP000001430001,2.301666667
EP000001430003,0.437222222
EP000001430004,0.776666667
EP000001430005,1.046388889
EP000001430006,1.013611111
EP000001430007,1.094444444
EP000001430010,0.305277778
EP000001430011,0.176388889
EP000001430012,0.178888889
EP000001430014,0.906944444
EP000001430015,1
EP000001430016,0.499166667
EP000001430018,0.729166667
EP000001430019,0.788333333
EP000001430022,0.515833333
EP000001430024,0.630277778
EP000001430026,0.456944444
EP000001430027,0.496944444
EP000001430028,0.689444444
EP000001430030,0.3975
EP000001430031,0.394166667
EP000001430034,0.468333333
EP000001430036,0.389444444
EP000001430037,0.545
EP000001430038,0.346944444
EP000001430039,0.34
EP000002030001,18.99694444
EP000002030002,11.44583333
EP000002030003,6.228333333
EP000002030004,4.786944444
EP000002030005,4.177777778
EP000002030006,4.375555556
EP000002030007,7.230277778
EP000002030008,6.298888889
EP000002030010,5.356388889
EP000002030013,3.435277778
EP000002030014,3.2125
EP000002030016,2.020555556
EP000002030017,3.451111111
EP000002030018,4.892777778
EP000002040073,0.721111111
EP000002040076,0.0025
EP000002040079,0.024166667
EP000002040081,0.029166667
EP000002040127,1.013888889
EP000002040176,0.298333333
EP000002040186,0.868055556
EP000002040188,0.336388889
EP000002040193,0.0025
EP000002040198,0.005555556
EP000002040203,0.292777778
EP000002040204,0.865
EP000002880188,4.040555556
EP000002880277,3.436666667
EP000002880278,0.910833333
EP000002880279,398.8938889
EP000002880284,74.34861111
EP000002880285,201.9705556
EP000003240001,0.738333333
EP000003240002,0.584722222
EP000003240013,0.018333333
EP000003240035,0.092222222
EP000003240046,0.005277778
EP000003240057,0.0025
EP000003240079,0.093611111
EP000003240090,1.435277778
EP000003240101,1.026111111
EP000003240157,0.005
EP000003240172,1.265277778
EP000003240175,0.396944444
EP000003240176,0.094722222
EP000003240177,0.055277778
EP000003240179,1.435555556
EP000003240181,1.636111111
EP000003240183,1.373611111
EP000003240185,0.691944444
EP000003240186,0.71
EP000003240188,0.051111111
EP000003240189,0.003888889
EP000003240190,0.004722222
EP000003240193,0.056944444
EP000003240194,1.495833333
EP000003240196,1.280277778
EP000003240197,0.254722222
EP000003240198,0.028333333
EP000003240199,5.776944444
EP000003240200,3.116111111
EP000003240201,2.715
EP000003240202,0.188888889
EP000003240203,0.849722222
EP000003240204,0.968888889
EP000003240205,2.355833333
EP000003240206,1.656666667
EP000003240207,0.005
EP000003240208,1.003888889
EP000003240209,1.604166667
EP000003240210,1.604444444
EP000003240211,0.067222222
EP000003240212,0.319166667
EP000003240213,0.027222222
EP000003240214,0.0025
EP000003240215,0.020555556
EP000003240216,1.0425
EP000003240218,1.171388889
EP000003240219,0.164166667
EP000003240220,0.841666667
EP000003240221,1.354444444
EP000003240222,1.636666667
EP000003240223,4.179444444
EP000003240224,0.705833333
EP000003240225,0.409166667
EP000003240226,3.361388889
EP000003240227,2.740555556
EP000003240229,5.580277778
EP000003240230,248.4283333
EP000003240231,293.1658333
EP000003240232,369.7319444
EP000003240233,387.3272222
EP000003240234,530.4163889
EP000003240235,569.3055556
EP000003240236,611.4508333
EP000003240237,552.7066667
EP000003240238,691.0730556
EP000003500558,233.2397222
EP000003500562,194.0744444
EP000003500563,129.5752778
EP000003500570,108.7297222
EP000003500571,64.93916667
EP000003500572,84.4075
EP000003500574,101.3197222
EP000003500575,54.34194444
EP000003500576,78.43777778
EP000003500577,113.2275
EP000003500579,121.6730556
EP000003500624,82.57111111
EP000003500630,141.9888889
EP000003500633,112.7069444
EP000003500678,74.25583333
EP000003500682,48.42333333
EP000003500683,101.7994444
EP000003500684,67.16888889
EP000003500688,62.91888889
EP000003500691,76.53083333
EP000003500692,89.38222222
EP000003500693,81.7175
EP000003500694,83.78416667
EP000003500716,112.9983333
EP000003500717,65.17194444
EP000004790202,0.009444444
EP000004790203,0.041111111
EP000004790204,0.008611111
EP000004790226,0.0025
EP000004790227,0.191388889
EP000004790228,0.088611111
EP000004790231,0.370833333
EP000004790233,0.253888889
EP000004790235,0.318888889
EP000004790240,0.641666667
EP000004790244,0.92
EP000004790245,0.778888889
EP000004790246,1.193055556
EP000004790248,0.845555556
EP000004790249,0.003333333
EP000004790250,0.474166667
EP000004790251,0.174722222
EP000004790252,0.195833333
EP000004790253,230.8866667
EP000004790254,234.6519444
EP000004790255,296.6425
EP000004790256,279.24
EP000004790257,442.7952778
EP000004790258,254.8086111
EP000004790259,253.7183333
EP000004790260,267.565
EP000004790261,362.2791667
EP000004790262,505.5697222
EP000004790263,0.199166667
EP000004790276,0.8325
EP000004790282,0.025833333
EP000004800129,0.067777778
EP000005740001,121.8383333
EP000005740002,71.04055556
EP000005740003,30.08833333
EP000005740004,50.44888889
EP000005740005,25.53527778
EP000005740006,23.03361111
EP000005740007,53.99111111
EP000005740008,21.56972222
EP000005740009,79.15972222
EP000005740010,52.9275
EP000005740011,97.37305556
EP000005740012,52.08861111
EP000005740013,23.19833333
EP000005740014,29.19694444
EP000005740015,23.11583333
EP000005740016,31.62638889
EP000005740017,30.83305556
EP000005740018,46.90083333
EP000005740019,23.01888889
EP000005740020,23.47444444
EP000005740021,35.76305556
EP000005740022,29.09083333
EP000005740023,24.91916667
EP000005740024,59.61611111
EP000005740025,24.75694444
EP000005740026,43.07416667
EP000005740027,30.15694444
EP000005740028,33.92916667
EP000005740029,52.06722222
EP000005740030,40.1175
EP000005740031,35.84083333
EP000005740032,21.69666667
EP000005740033,57.29833333
EP000005740034,26.31694444
EP000005740035,43.35388889
EP000005740036,42.38555556
EP000005740037,36.64166667
EP000005740038,28.91277778
EP000005740039,24.03805556
EP000005740040,34.74666667
EP000005740041,25.66805556
EP000005740042,33.30861111
EP000005740043,23.70527778
EP000005740044,28.39972222
EP000005740045,25.50527778
EP000005740046,26.23444444
EP000005740047,29.79138889
EP000005740048,28.82527778
EP000005740049,30.89166667
EP000005740050,29.45972222
EP000005740051,53.19138889
EP000005740052,43.39833333
EP000005740053,34.54305556
EP000005740054,40.45888889
EP000005740055,30.40638889
EP000005740056,25.76722222
EP000005740057,27.19722222
EP000005740058,25.73972222
EP000005740059,29.39333333
EP000005740060,27.63527778
EP000005740061,53.80361111
EP000005740062,29.41805556
EP000005740063,38.13277778
EP000005740064,41.14583333
EP000005740065,56.99694444
EP000005740066,37.73833333
EP000005740067,40.60944444
EP000005740068,44.32333333
EP000005740069,37.95194444
EP000005740070,26.49138889
EP000005740071,57.6175
EP000005740072,44.86833333
EP000005740073,35.41861111
EP000005740074,32.345
EP000005740075,27.98305556
EP000005740076,39.02972222
EP000005740077,24.21722222
EP000005740078,30.07833333
EP000005740079,30.17972222
EP000005740080,53.96277778
EP000005740081,39.395
EP000005740082,37.21277778
EP000005740083,53.40944444
EP000005740084,42.97166667
EP000005740085,46.18361111
EP000005740086,29.37722222
EP000005740087,46.00527778
EP000005740088,32.7
EP000005740089,37.05666667
EP000005740090,154.7605556
EP000005740091,42.89027778
EP000005740092,35.97166667
EP000005740093,39.94305556
EP000005740094,45.10555556
EP000005740095,41.96916667
EP000005740096,57.40166667
EP000005740097,54.6125
EP000005740098,61.01611111
EP000005740099,46.48694444
EP000005740100,38.67805556
EP000005740101,50.88638889
EP000005740102,47.17055556
EP000005740103,48.35305556
EP000005740104,55.13777778
EP000005740105,27.02972222
EP000005740106,42.63611111
EP000005740107,43.05555556
EP000005740108,34.24222222
EP000005740109,66.45222222
EP000005740110,39.3
EP000005740111,43.89166667
EP000005740112,24.605
EP000006260002,0.009722222
EP000006260003,0.010833333
EP000006260007,0.001944444
EP000006260018,0.200555556
EP000006260019,1.32
EP000006260021,0.042222222
EP000006260022,0.321388889
EP000006260023,0.663611111
EP000006260027,1.134722222
EP000006260029,1.286111111
EP000006260030,1.701111111
EP000006260031,0.156388889
EP000006260032,0.068055556
EP000006260033,0.073611111
EP000006260036,0.015555556
EP000006260037,0.734722222
EP000006260038,0.063611111
EP000006260039,0.325833333
EP000006260040,0.008611111
EP000006260042,1.010555556
EP000006260043,2.266666667
EP000006260044,0.186111111
EP000006260045,0.443611111
EP000006260046,2.383333333
EP000006260047,1.649444444
EP000006260048,0.5
EP000006260049,0.606666667
EP000006260050,2.481111111
EP000006260051,0.092777778
EP000006260052,0.334722222
EP000006260053,0.0025
EP000006260054,2.25
EP000006260055,0.266388889
EP000006260056,0.107222222
EP000006260058,0.013611111
EP000006260059,0.066666667
EP000006260060,0.989444444
EP000006260061,0.495
EP000006260064,1.060833333
EP000006260065,0.892222222
EP000006260066,0.376111111
EP000006260067,0.045277778
EP000006260068,0.261111111
EP000006260070,0.165555556
EP000006260071,0.543055556
EP000006260073,1.273611111
EP000006260085,0.256666667
EP000006260092,0.098611111
EP000006260094,0.029166667
EP000006260095,0.018888889
EP000006260098,0.898611111
EP000006260106,1.5975
EP000006260116,1.638055556
EP000006260117,1.030833333
EP000006260118,0.157777778
EP000006260119,0.024166667
EP000006260121,0.228611111
EP000006260122,0.266388889
EP000006260123,0.113333333
EP000006260125,0.021944444
EP000006260126,0.731388889
EP000006260128,0.235277778
EP000006260131,0.013055556
EP000006260132,0.001944444
EP000006260133,0.799444444
EP000006260134,0.986388889
EP000006260135,0.005833333
EP000006260138,2.609166667
EP000006260139,0.315277778
EP000006260140,0.548055556
EP000006260141,0.754722222
EP000006260142,0.886388889
EP000008910001,90.14944444
EP000008910002,70.29333333
EP000008910003,54.94472222
EP000008910004,52.5525
EP000008910005,52.375
EP000008910006,52.89138889
EP000008910007,43.69416667
EP000008910008,38.6025
EP000008910009,46.28416667
EP000008910010,44.59194444
EP000008910011,49.9475
EP000008910012,43.44694444
EP000008910013,45.37638889
EP000008910014,37.27944444
EP000008910015,47.09666667
EP000008910016,57.71305556
EP000008910017,52.32916667
EP000008910018,50.42944444
EP000008910019,43.34527778
EP000008910020,52.03888889
EP000008910021,42.87
EP000008910022,51.61027778
EP000008910023,38.92638889
EP000008910024,37.32444444
EP000008910025,23.78027778
EP000008910026,30.36638889
EP000008910027,24.01888889
EP000008910028,23.15777778
EP000008910029,78.31694444
EP000008910030,37.9425
EP000008910031,38.83111111
EP000008910032,31.60277778
EP000008910033,26.03361111
EP000008910034,27.10944444
EP000008910035,26.57527778
EP000008910036,42.24166667
EP000008910037,24.65444444
EP000008910038,24.78472222
EP000008910039,24.42694444
EP000008910040,51.96527778
EP000008910041,74.45333333
EP000008910042,72.84388889
EP000008910043,71.19583333
EP000008910044,75.15194444
EP000008910045,80.25638889
EP000008910046,72.35194444
EP000008910047,72.46222222
EP000008910048,48.54638889
EP000008910049,56.93722222
EP000008910050,41.35777778
EP000008910051,39.89722222
EP000008910052,46.17972222
EP000008910053,53.55416667
EP000008910054,55.42527778
EP000008910055,47.90916667
EP000008910056,47.11916667
EP000008910057,36.93305556
EP000008910058,42.94194444
EP000008910059,51.30305556
EP000008910060,37.47083333
EP000008910061,28.40305556
EP000008910062,38.72472222
EP000008910063,48.96166667
EP000008910064,30.93055556
EP000008910065,30.83916667
EP000008910066,35.83666667
EP000008910067,32.53444444
EP000008910068,73.11
EP000008910069,40.38777778
EP000008910070,32.75277778
EP000008910071,32.29333333
EP000008910072,38.73666667
EP000008910073,29.64777778
EP000008910074,47.66166667
EP000008910075,24.82527778
EP000008910076,48.81555556
EP000008910077,77.9975
EP000008910078,64.1875
EP000008910079,40.80722222
EP000008910080,43.68555556
EP000008910081,45.31833333
EP000008910082,33.94083333
EP000008910083,31.15277778
EP000008910084,47.64861111
EP000008910085,31.50083333
EP000008910086,43.90666667
EP000008910087,34.38361111
EP000008910088,50.12722222
EP000008910089,67.48194444
EP000008910090,76.84972222
EP000008910091,105.4702778
EP000008910092,105.5913889
EP000008910093,129.7691667
EP000008910094,64.57472222
EP000008910095,84.17722222
EP000008910096,81.54972222
EP000008910097,74.93222222
EP000008910098,97.83277778
EP000008910099,194.2472222
EP000008910100,25.90416667
EP000008910101,32.7025
EP000008910102,35.46777778
EP000008910103,16.52055556
EP000008910104,41.38194444
EP000008910105,55.35083333
EP000008910106,85.58361111
EP000008910107,42.01916667
EP000010050001,7.634722222
EP000010050002,14.15111111
EP000010050003,6.441666667
EP000010050004,8.081111111
EP000010050005,2.128888889
EP000010050006,5.206388889
EP000010050007,4.430277778
EP000010050008,637.3494444
EP000010050009,10.45194444
EP000010050010,10.20694444
EP000010050011,643.5383333
EP000010050012,6.618055556
EP000010050013,685.2177778
EP000010050014,485.5241667
EP000010050015,591.9130556
EP000010050016,2572.543056
EP000010050018,3963.487778
EP000010050019,4860.356944
EP000010050021,4973.161389
EP000010050022,4202.2825
EP000011894674,0.846944444
EP000011894717,1.177222222
EP000011894723,1.906666667
EP000011894729,0.264166667
EP000011894773,1.944166667
EP000011894807,0.001944444
EP000011894808,0.003055556
EP000011894809,0.623333333
EP000011894815,0.620555556
EP000011894817,0.003611111
EP000011894820,0.623888889
EP000011894823,8.33E-04
EP000011894828,0.001111111
EP000011894831,0.401388889
EP000011894835,0.046666667
EP000011894870,0.361944444
EP000011894898,0.012777778
EP000011894901,1.735277778
EP000011894902,0.757222222
EP000011894903,0.0075
EP000011894909,0.076388889
EP000011894911,0.011388889
EP000011894912,0.003611111
EP000011894913,0.051944444
EP000011894914,0.374166667
EP000011894915,0.021388889
EP000011894917,1.148055556
EP000011894925,0.041111111
EP000011894926,0.044166667
EP000011894931,0.616111111
EP000011894932,0.615
EP000011894940,0.925277778
EP000011894944,0.025
EP000011894950,0.271666667
EP000011894953,0.090277778
EP000011894958,0.045833333
EP000011894959,0.016388889
EP000011894960,0.469722222
EP000011894968,0.003611111
EP000011894970,0.028333333
EP000011894971,0.82
EP000011894972,0.003333333
EP000011894973,0.355555556
EP000011894974,0.004444444
EP000011894975,0.001944444
EP000011894978,5.56E-04
EP000011894982,0.005833333
EP000011894983,0.011388889
EP000011894987,0.878888889
EP000011894988,0.922222222
EP000011894989,0.073055556
EP000011894991,0.280277778
EP000011894993,0.9875
EP000011894995,0.122777778
EP000011894996,1.382777778
EP000011895006,0.081111111
EP000011895010,0.623888889
EP000011895013,0.314166667
EP000011895014,0.563333333
EP000011895016,0.068333333
EP000011895020,0.874722222
EP000011895022,0.662222222
EP000011895023,0.048333333
EP000011895024,0.048333333
EP000011895026,0.045833333
EP000011895027,1.682777778
EP000011895028,0.976666667
EP000011895031,1.034166667
EP000011895033,0.7925
EP000011895035,0.106666667
EP000011895036,0.091666667
EP000011895037,0.128611111
EP000011895038,0.034722222
EP000011895039,0.3925
EP000011895041,8.33E-04
EP000011895042,3.911111111
EP000011895045,0.623888889
EP000011895046,8.33E-04
EP000011895050,1.564166667
EP000011895055,1.495833333
EP000011895056,8.33E-04
EP000011895060,2.370833333
EP000011895061,0.652777778
EP000011895062,0.095833333
EP000011895063,0.373888889
EP000011895064,0.026388889
EP000011895065,1.596666667
EP000011895066,0.043611111
EP000011895068,0.008611111
EP000011895074,0.045
EP000011895075,1.028888889
EP000011895076,1.028333333
EP000011895078,0.628888889
EP000011895079,0.011111111
EP000011895080,0.008333333
EP000011895081,0.028333333
EP000011895082,1.391388889
EP000011895085,0.040277778
EP000011895087,2.554722222
EP000011895088,0.736666667
EP000011895089,1.683611111
EP000011895090,1.000833333
EP000011895091,1.270277778
EP000011895092,0.047222222
EP000011895093,0.345833333
EP000011895094,2.908611111
EP000011895095,2.803888889
EP000011895096,0.341944444
EP000011895097,0.464722222
EP000011895098,0.377222222
EP000011895099,0.164722222
EP000011895100,1.114722222
EP000011895101,1.003055556
EP000011895102,0.621666667
EP000011895103,1.004722222
EP000011895104,0.005277778
EP000011895105,0.705555556
EP000011895106,0.500833333
EP000011895107,1.810833333
EP000011895108,0.680277778
EP000011895109,1.116111111
EP000011895110,0.5
EP000011895111,0.052222222
EP000011895112,0.908055556
EP000011895114,0.035833333
EP000011895115,0.370555556
EP000011895116,1.043333333
EP000011895117,4.883888889
EP000011895118,0.001666667
EP000011895121,0.031388889
EP000011895122,0.896944444
EP000011895123,0.219722222
EP000011895124,0.039444444
EP000011895125,0.606944444
EP000011895126,1.5875
EP000011895127,0.429722222
EP000011895128,0.8775
EP000011895129,1.4125
EP000011895130,0.043611111
EP000011895131,0.131666667
EP000011895132,0.003055556
EP000011895133,1.000555556
EP000011895135,0.061944444
EP000011895136,0.033333333
EP000011895137,1.0825
EP000011895138,0.071944444
EP000011895139,1.2225
EP000011895140,9.713888889
EP000011895141,4.7875
EP000011895142,6.018333333
EP000011895143,3.495555556
EP000011895144,4.3925
EP000011895145,1.1925
EP000011895146,9.682777778
EP000011895147,0.210277778
EP000011895148,4.661388889
EP000011895149,3.402222222
EP000011895150,1.3675
EP000011895151,1.681944444
EP000011895152,1.040833333
EP000011895153,1.411944444
EP000011895154,0.743888889
EP000011895155,1.342777778
EP000011895156,2.554166667
EP000011895157,3.143888889
EP000011895158,1.625555556
EP000011895159,0.428888889
EP000011895160,0.323055556
EP000011895161,2.385277778
EP000011895162,0.445
EP000011895163,0.083888889
EP000011895164,0.628333333
EP000011895165,1.384166667
EP000011895167,2.851944444
EP000011895168,3.383888889
EP000011895169,0.423055556
EP000011895170,0.045555556
EP000011895171,0.913055556
EP000011895172,0.606388889
EP000011895173,2.067222222
EP000011895175,1
EP000011895176,0.865
EP000011895177,1.942222222
EP000011895178,0.154444444
EP000011895179,2.377777778
EP000011895180,1.053888889
EP000011895181,1.613333333
EP000011895182,3.162777778
EP000011895183,0.007222222
EP000011895184,3.728333333
EP000011895185,1.023055556
EP000011895186,0.981111111
EP000011895187,1.325833333
EP000011895188,1.179166667
EP000011895189,0.491388889
EP000011895190,0.243333333
EP000011895191,0.013611111
EP000011895192,1.145277778
EP000011895193,0.956388889
EP000011895194,0.38
EP000011895195,2.281111111
EP000011895196,1.141944444
EP000011895197,0.1475
EP000011895198,1.000555556
EP000011895199,3.319722222
EP000011895200,4.208333333
EP000011895201,1.998888889
EP000011895202,1.623333333
EP000011895203,0.874166667
EP000011895204,1.336388889
EP000011895205,0.036111111
EP000011895206,2.756666667
EP000011895207,0.98
EP000011895208,0.136666667
EP000011895209,0.13
EP000011895210,1.582777778
EP000011895212,0.704444444
EP000011895213,3.567777778
EP000011895214,0.138611111
EP000011895215,2.926666667
EP000011895216,1.160833333
EP000011895217,1.606666667
EP000011895218,2.4475
EP000011895219,0.013333333
EP000011895220,0.179166667
EP000011895221,0.340555556
EP000011895222,1.590833333
EP000011895223,0.554166667
EP000011895224,2.670555556
EP000011895225,2.375555556
EP000011895226,3.494166667
EP000011895227,1.599722222
EP000011895228,0.965833333
EP000011895229,1.681666667
EP000011895230,0.365555556
EP000011895231,4.999722222
EP000011895232,1.414444444
EP000011895233,1.479444444
EP000011895234,0.634722222
EP000011895235,1.339722222
EP000011895236,0.439444444
EP000011895237,1.449722222
EP000011895238,2.145833333
EP000011895239,0.978055556
EP000011895240,4.591111111
EP000011895241,0.9375
EP000011895242,0.198333333
EP000011895243,1.551944444
EP000011895244,0.392222222
EP000011895245,1.887222222
EP000011895246,2.780833333
EP000011895247,1.011666667
EP000011895248,1.679722222
EP000011895249,1.316111111
EP000011895250,3.816944444
EP000011895251,2.453333333
EP000011895252,2.361944444
EP000011895253,3.815
EP000011895254,15.06805556
EP000011895255,27.85194444
EP000011895256,48.98888889
EP000011895257,1.995833333
EP000011895258,25.87638889
EP000011895259,57.73722222
EP000011895260,57.49055556
EP000011895261,58.37777778
EP000011895262,62.15
EP000011895263,69.37222222
EP000011895264,73.16694444
EP000011895265,54.9275
EP000011895266,57.08027778
EP000011895267,73.37138889
EP000011895268,47.98111111
EP000011895269,43.49
EP000011895270,38.63472222
EP000011895271,40.83527778
EP000011895272,41.0225
EP000011895273,39.88805556
